Rosalind_2598 Rosalind_0924
Rosalind_3341 Rosalind_0908
Rosalind_3341 Rosalind_0318
Rosalind_1306 Rosalind_9673
Rosalind_1306 Rosalind_8678
Rosalind_9673 Rosalind_7623
Rosalind_1407 Rosalind_7118
Rosalind_5617 Rosalind_7708
Rosalind_5617 Rosalind_8418
Rosalind_8418 Rosalind_6046
Rosalind_8148 Rosalind_6046
Rosalind_3704 Rosalind_8148
Rosalind_0995 Rosalind_0642
Rosalind_1698 Rosalind_7181
Rosalind_1698 Rosalind_4215
Rosalind_3227 Rosalind_3895
Rosalind_3227 Rosalind_2816
Rosalind_3227 Rosalind_1381
Rosalind_2528 Rosalind_0841
Rosalind_2528 Rosalind_4388
Rosalind_4818 Rosalind_7708
Rosalind_4818 Rosalind_8418
Rosalind_7475 Rosalind_6254
Rosalind_7475 Rosalind_1306
Rosalind_7475 Rosalind_7078
Rosalind_9256 Rosalind_9673
Rosalind_9256 Rosalind_8678
Rosalind_8678 Rosalind_6007
Rosalind_8678 Rosalind_8523
Rosalind_7623 Rosalind_3592
Rosalind_7623 Rosalind_1407
Rosalind_7623 Rosalind_4818
Rosalind_5301 Rosalind_9256
Rosalind_5301 Rosalind_8436
Rosalind_2212 Rosalind_8528
Rosalind_2212 Rosalind_0222
Rosalind_2212 Rosalind_5301
Rosalind_3895 Rosalind_9871
Rosalind_1923 Rosalind_5092
Rosalind_1923 Rosalind_8849
Rosalind_7181 Rosalind_5112
Rosalind_7181 Rosalind_6999
Rosalind_9871 Rosalind_5307
Rosalind_7712 Rosalind_7112
Rosalind_0827 Rosalind_3592
Rosalind_0827 Rosalind_1407
Rosalind_0827 Rosalind_4818
Rosalind_1372 Rosalind_4182
Rosalind_1372 Rosalind_9053
Rosalind_1372 Rosalind_5514
Rosalind_7672 Rosalind_3895
Rosalind_7672 Rosalind_2816
Rosalind_7672 Rosalind_1381
Rosalind_0599 Rosalind_5399
Rosalind_1474 Rosalind_1838
Rosalind_1474 Rosalind_6231
Rosalind_5399 Rosalind_7623
Rosalind_5819 Rosalind_7623
Rosalind_4215 Rosalind_9429
Rosalind_3636 Rosalind_8528
Rosalind_3636 Rosalind_0222
Rosalind_3636 Rosalind_5301
Rosalind_6999 Rosalind_1956
Rosalind_6999 Rosalind_5937
Rosalind_6999 Rosalind_3227
Rosalind_2923 Rosalind_3895
Rosalind_2923 Rosalind_2816
Rosalind_2923 Rosalind_1381
Rosalind_5728 Rosalind_5307
Rosalind_7078 Rosalind_0642
Rosalind_3531 Rosalind_1698
Rosalind_3531 Rosalind_7181
Rosalind_3531 Rosalind_4215
Rosalind_4388 Rosalind_0841
Rosalind_0950 Rosalind_8528
Rosalind_0950 Rosalind_0222
Rosalind_0950 Rosalind_5301
Rosalind_9429 Rosalind_6254
Rosalind_9429 Rosalind_1306
Rosalind_9429 Rosalind_7078
Rosalind_2816 Rosalind_2366
Rosalind_1591 Rosalind_4967
Rosalind_7118 Rosalind_0062
Rosalind_7118 Rosalind_6688
Rosalind_7118 Rosalind_5728
Rosalind_6231 Rosalind_7118
Rosalind_5175 Rosalind_0716
Rosalind_1381 Rosalind_4698
Rosalind_8436 Rosalind_0950
Rosalind_8436 Rosalind_0801
Rosalind_4134 Rosalind_0995
Rosalind_5514 Rosalind_1474
Rosalind_2344 Rosalind_5399
Rosalind_4967 Rosalind_1372
Rosalind_4698 Rosalind_3426
Rosalind_8849 Rosalind_7708
Rosalind_8849 Rosalind_8418
Rosalind_0801 Rosalind_1838
Rosalind_0801 Rosalind_6231
